Date,Open,High,Low,Close
2008-09-12 14:16,4268.85,4268.85,4260.65,4260.65
2008-09-12 14:17,4259.9,4259.9,4256.0,4256.0
2008-09-12 14:18,4255.7,4256.45,4254.15,4254.25
2008-09-12 14:19,4254.05,4258.65,4254.05,4257.8
2008-09-12 14:20,4258.15,4260.35,4258.15,4258.75
2008-09-12 14:21,4257.75,4257.85,4255.7,4257.5
2008-09-12 14:22,4257.8,4259.4,4257.8,4259.25
2008-09-12 14:23,4258.85,4258.85,4253.7,4253.7
2008-09-12 14:24,4253.75,4253.85,4250.05,4250.95
2008-09-12 14:25,4251.05,4256.0,4251.05,4256.0
2008-09-12 14:26,4256.1,4256.95,4255.0,4256.95
2008-09-12 14:27,4258.6,4258.6,4256.85,4256.85
2008-09-12 14:28,4256.45,4259.7,4256.45,4259.25
2008-09-12 14:29,4259.5,4261.3,4258.7,4261.3
2008-09-12 14:30,4260.85,4264.0,4260.85,4263.2
2008-09-12 14:31,4262.65,4265.25,4262.65,4264.5
2008-09-12 14:32,4264.35,4264.35,4263.05,4263.8
2008-09-12 14:33,4264.6,4264.6,4261.65,4261.65
2008-09-12 14:34,4259.8,4259.8,4256.25,4256.8
2008-09-12 14:35,4256.0,4256.05,4254.25,4254.25
2008-09-12 14:36,4253.4,4253.4,4245.35,4245.35
2008-09-12 14:37,4245.2,4248.55,4245.05,4248.55
2008-09-12 14:38,4249.0,4249.85,4247.6,4247.85
2008-09-12 14:39,4248.45,4253.05,4248.45,4252.8
2008-09-12 14:40,4252.5,4257.95,4252.35,4257.95
2008-09-12 14:41,4256.75,4257.1,4254.65,4254.65
2008-09-12 14:42,4254.6,4254.95,4252.15,4254.95
2008-09-12 14:43,4254.7,4256.55,4254.7,4256.1
2008-09-12 14:44,4256.1,4256.3,4253.35,4253.85
2008-09-12 14:45,4253.45,4255.15,4252.65,4255.15
2008-09-12 14:46,4256.35,4260.7,4256.35,4260.7
2008-09-12 14:47,4261.2,4267.25,4260.9,4267.25
2008-09-12 14:48,4267.0,4273.95,4266.55,4273.15
2008-09-12 14:49,4272.05,4275.45,4271.0,4274.6
2008-09-12 14:50,4275.0,4278.2,4271.3,4278.2
2008-09-12 14:51,4277.95,4277.95,4269.85,4269.85
2008-09-12 14:52,4269.65,4269.65,4263.75,4264.25
2008-09-12 14:53,4264.95,4265.05,4261.8,4261.8
2008-09-12 14:54,4259.95,4259.95,4256.65,4258.85
2008-09-12 14:55,4259.25,4260.6,4258.35,4260.35
2008-09-12 14:56,4260.75,4260.75,4254.1,4254.3
2008-09-12 14:57,4253.5,4260.25,4252.45,4260.25
2008-09-12 14:58,4259.15,4261.25,4258.9,4261.2
2008-09-12 14:59,4261.2,4261.2,4252.55,4252.55
2008-09-12 15:00,4252.55,4253.25,4250.2,4250.2
2008-09-12 15:01,4250.45,4251.0,4246.35,4246.35
2008-09-12 15:02,4246.6,4249.85,4246.6,4248.75
2008-09-12 15:03,4248.9,4248.9,4246.75,4246.75
2008-09-12 15:04,4246.35,4246.35,4242.25,4242.25
2008-09-12 15:05,4241.95,4241.95,4239.85,4240.0
2008-09-12 15:06,4239.25,4239.5,4237.55,4237.55
2008-09-12 15:07,4237.85,4239.45,4237.2,4238.5
2008-09-12 15:08,4238.55,4242.15,4238.55,4242.15
2008-09-12 15:09,4244.35,4244.35,4242.05,4242.05
2008-09-12 15:10,4242.05,4242.05,4241.1,4241.85
2008-09-12 15:11,4242.4,4247.35,4242.4,4244.5
2008-09-12 15:12,4243.95,4244.8,4240.05,4240.05
2008-09-12 15:13,4240.25,4240.25,4235.8,4235.8
2008-09-12 15:14,4236.1,4236.1,4230.5,4230.5
2008-09-12 15:15,4229.55,4229.55,4226.5,4227.65
2008-09-12 15:16,4228.6,4228.6,4221.15,4221.5
2008-09-12 15:17,4220.6,4223.8,4220.6,4223.8
2008-09-12 15:18,4225.0,4225.05,4221.65,4221.65
2008-09-12 15:19,4222.4,4222.9,4216.45,4217.1
2008-09-12 15:20,4217.3,4219.1,4216.65,4218.95
2008-09-12 15:21,4218.65,4218.65,4217.05,4218.2
2008-09-12 15:22,4218.55,4218.55,4217.6,4217.7
2008-09-12 15:23,4217.0,4217.85,4216.3,4217.85
2008-09-12 15:24,4218.45,4219.85,4217.35,4217.35
2008-09-12 15:25,4217.05,4217.55,4215.75,4216.8
2008-09-12 15:26,4216.7,4216.9,4212.6,4212.6
2008-09-12 15:27,4211.25,4211.25,4204.65,4204.65
2008-09-12 15:28,4205.75,4205.75,4202.3,4202.75
2008-09-12 15:29,4201.55,4203.95,4201.5,4202.1
2008-09-15 09:55,4228.45,4228.45,4067.7,4067.7
2008-09-15 09:56,4065.1,4065.7,4053.35,4058.1
2008-09-15 09:57,4060.05,4075.85,4060.05,4075.85
2008-09-15 09:58,4073.3,4073.3,4060.65,4060.7
2008-09-15 09:59,4059.75,4064.55,4058.8,4064.55
2008-09-15 10:00,4066.2,4068.3,4059.6,4059.6
2008-09-15 10:01,4059.55,4059.55,4054.4,4055.4
2008-09-15 10:02,4053.85,4053.85,4043.3,4043.3
2008-09-15 10:03,4044.3,4044.9,4037.15,4037.45
2008-09-15 10:04,4037.05,4037.05,4029.3,4029.3
2008-09-15 10:05,4028.95,4029.2,4027.4,4027.4
2008-09-15 10:06,4026.85,4026.85,4013.7,4013.7
2008-09-15 10:07,4009.65,4017.75,4007.25,4017.75
2008-09-15 10:08,4016.65,4027.05,4016.65,4027.05
2008-09-15 10:09,4028.2,4035.15,4028.2,4033.45
2008-09-15 10:10,4033.75,4034.2,4029.85,4029.85
2008-09-15 10:11,4028.5,4028.5,4025.4,4026.05
2008-09-15 10:12,4025.75,4027.9,4025.25,4026.0
2008-09-15 10:13,4026.5,4029.4,4026.25,4028.8
2008-09-15 10:14,4028.4,4028.4,4022.85,4024.8
2008-09-15 10:15,4025.7,4031.85,4025.7,4031.85
2008-09-15 10:16,4031.1,4032.95,4030.8,4032.95
2008-09-15 10:17,4033.05,4034.95,4031.55,4031.55
2008-09-15 10:18,4030.05,4031.2,4026.8,4026.8
2008-09-15 10:19,4026.3,4030.15,4026.3,4030.15
2008-09-15 10:20,4029.85,4032.5,4029.85,4031.4
2008-09-15 10:21,4031.65,4034.2,4031.3,4034.2
2008-09-15 10:22,4034.6,4036.1,4034.6,4036.1
2008-09-15 10:23,4035.75,4035.75,4030.25,4030.25
2008-09-15 10:24,4030.4,4033.5,4030.4,4031.4
2008-09-15 10:25,4030.55,4030.55,4018.1,4019.3
2008-09-15 10:26,4018.95,4019.5,4014.55,4014.55
2008-09-15 10:27,4014.05,4014.85,4006.85,4006.85
2008-09-15 10:28,4007.4,4007.4,4003.15,4003.15
2008-09-15 10:29,4002.85,4002.85,3996.25,3996.25
2008-09-15 10:30,3997.1,4007.45,3997.1,4007.45
2008-09-15 10:31,4008.55,4011.8,4008.55,4011.35
2008-09-15 10:32,4011.5,4012.0,4009.65,4010.05
2008-09-15 10:33,4011.0,4011.0,4007.7,4009.25
2008-09-15 10:34,4010.1,4010.15,4008.65,4009.2
2008-09-15 10:35,4009.45,4009.95,4007.9,4008.2
2008-09-15 10:36,4007.95,4008.6,4005.7,4008.6
2008-09-15 10:37,4007.3,4008.6,4006.35,4006.35
2008-09-15 10:38,4006.65,4006.65,4002.95,4002.95
2008-09-15 10:39,4001.4,4001.4,3992.75,3993.1
2008-09-15 10:40,3992.7,3999.55,3992.7,3998.5
2008-09-15 10:41,4000.4,4000.4,3992.45,3992.45
2008-09-15 10:42,3991.4,3991.4,3986.65,3988.55
2008-09-15 10:43,3988.9,3998.3,3988.9,3997.2
2008-09-15 10:44,3996.4,3996.4,3992.4,3995.3
2008-09-15 10:45,3993.55,3994.6,3990.95,3991.8
2008-09-15 10:46,3992.1,3992.2,3987.4,3992.2
2008-09-15 10:47,3991.8,3991.8,3988.45,3989.35
2008-09-15 10:48,3991.55,3993.4,3990.85,3993.25
2008-09-15 10:49,3993.45,3993.45,3986.85,3986.85
2008-09-15 10:50,3987.55,3987.55,3982.65,3984.5
2008-09-15 10:51,3984.75,3989.9,3984.75,3989.9
2008-09-15 10:52,3990.8,3991.25,3987.7,3987.7
2008-09-15 10:53,3986.75,3988.8,3986.75,3988.8
2008-09-15 10:54,3989.3,3991.9,3989.3,3990.75
2008-09-15 10:55,3990.85,3991.35,3988.45,3988.8
2008-09-15 10:56,3988.95,3989.15,3987.95,3988.05
2008-09-15 10:57,3987.85,3990.1,3987.35,3990.1
2008-09-15 10:58,3989.75,3992.4,3989.75,3992.4
2008-09-15 10:59,3992.6,3998.2,3992.6,3998.2
2008-09-15 11:00,3998.95,4004.15,3998.95,4003.9
2008-09-15 11:01,4004.85,4005.85,4003.9,4004.0
2008-09-15 11:02,4002.1,4002.85,4000.1,4002.85
2008-09-15 11:03,4002.8,4003.8,3998.3,3998.3
2008-09-15 11:04,3998.45,3998.45,3996.4,3998.45
2008-09-15 11:05,3998.55,4001.5,3998.55,4000.9
2008-09-15 11:06,4002.1,4003.15,4000.95,4002.5
2008-09-15 11:07,4003.6,4005.05,4003.6,4004.75
2008-09-15 11:08,4004.35,4004.35,4000.05,4000.55
2008-09-15 11:09,4000.5,4001.95,4000.2,4001.95
2008-09-15 11:10,4002.05,4007.85,4002.05,4007.85
2008-09-15 11:11,4007.05,4009.75,4006.6,4009.75
2008-09-15 11:12,4009.85,4009.85,4007.7,4007.7
2008-09-15 11:13,4006.9,4008.7,4006.75,4008.7
2008-09-15 11:14,4008.35,4013.05,4008.35,4012.25
2008-09-15 11:15,4011.95,4011.95,4010.25,4011.05
2008-09-15 11:16,4011.25,4011.25,4008.0,4008.0
2008-09-15 11:17,4007.55,4008.65,4006.55,4008.3
2008-09-15 11:18,4008.7,4011.0,4008.7,4010.85
2008-09-15 11:19,4010.65,4010.65,4008.75,4009.25
2008-09-15 11:20,4008.75,4008.75,4006.35,4006.5
2008-09-15 11:21,4005.3,4005.3,3999.3,3999.5
2008-09-15 11:22,3999.1,3999.1,3996.5,3996.65
2008-09-15 11:23,3996.75,3996.75,3993.2,3994.15
2008-09-15 11:24,3992.85,3995.0,3992.15,3993.95
2008-09-15 11:25,3994.2,3998.1,3994.2,3998.1
2008-09-15 11:26,3997.85,3998.35,3996.8,3998.35
2008-09-15 11:27,3998.7,3999.05,3996.15,3996.15
2008-09-15 11:28,3996.15,3997.85,3995.7,3996.95
2008-09-15 11:29,3996.3,3996.75,3994.65,3994.65
2008-09-15 11:30,3994.05,3994.05,3992.3,3993.3
2008-09-15 11:31,3992.0,3992.0,3982.15,3982.15
2008-09-15 11:32,3981.65,3981.65,3978.6,3978.8
2008-09-15 11:33,3979.25,3983.55,3979.25,3982.8
2008-09-15 11:34,3982.35,3982.35,3980.75,3981.2
2008-09-15 11:35,3982.1,3983.85,3981.9,3982.55
2008-09-15 11:36,3982.9,3982.9,3977.6,3977.6
2008-09-15 11:37,3976.8,3976.8,3974.3,3974.6
2008-09-15 11:38,3973.95,3974.25,3967.3,3967.3
2008-09-15 11:39,3965.25,3965.25,3958.95,3960.65
2008-09-15 11:40,3959.85,3960.1,3956.45,3956.45
2008-09-15 11:41,3957.05,3961.2,3956.5,3961.1
2008-09-15 11:42,3961.2,3967.7,3961.15,3964.55
2008-09-15 11:43,3964.85,3964.95,3961.65,3961.65
2008-09-15 11:44,3960.85,3962.15,3960.05,3962.15
2008-09-15 11:45,3963.2,3965.8,3963.1,3964.7
2008-09-15 11:46,3964.7,3969.3,3964.7,3969.3
2008-09-15 11:47,3969.5,3975.2,3969.5,3975.2
2008-09-15 11:48,3974.7,3976.85,3973.75,3973.75
2008-09-15 11:49,3973.4,3973.4,3971.15,3971.75
2008-09-15 11:50,3971.9,3974.2,3971.9,3973.75
2008-09-15 11:51,3973.6,3974.15,3972.65,3973.2
2008-09-15 11:52,3973.85,3974.35,3971.15,3971.75
2008-09-15 11:53,3971.85,3976.3,3971.5,3976.3
2008-09-15 11:54,3976.55,3977.55,3974.35,3975.7
2008-09-15 11:55,3975.3,3975.3,3972.8,3973.8
2008-09-15 11:56,3974.05,3977.1,3974.05,3977.1
2008-09-15 11:57,3978.05,3988.85,3978.05,3988.85
2008-09-15 11:58,3988.9,3988.9,3986.4,3987.25
2008-09-15 11:59,3987.3,3988.9,3987.3,3988.25
2008-09-15 12:00,3988.15,3988.15,3982.6,3982.6
2008-09-15 12:01,3982.25,3985.8,3981.55,3985.5
2008-09-15 12:02,3986.4,3996.25,3986.4,3995.8
2008-09-15 12:03,3995.6,3995.6,3987.45,3987.45
2008-09-15 12:04,3987.0,3987.0,3982.4,3982.4
2008-09-15 12:05,3982.65,3985.45,3982.55,3985.45
2008-09-15 12:06,3985.2,3988.15,3985.2,3987.9
2008-09-15 12:07,3988.4,3989.55,3987.85,3988.55
2008-09-15 12:08,3987.35,3991.0,3987.35,3991.0
2008-09-15 12:09,3991.0,3992.05,3991.0,3991.6
2008-09-15 12:10,3990.35,3990.45,3988.55,3988.8
2008-09-15 12:11,3988.9,3991.45,3988.85,3991.15
2008-09-15 12:12,3990.7,3990.8,3987.55,3987.75
2008-09-15 12:13,3988.25,3989.9,3988.25,3989.3
2008-09-15 12:14,3987.75,3987.75,3985.7,3985.7
2008-09-15 12:15,3985.9,3985.9,3984.2,3984.8
2008-09-15 12:16,3984.6,3986.2,3984.45,3984.6
2008-09-15 12:17,3984.1,3985.2,3983.65,3983.8
2008-09-15 12:18,3984.0,3986.05,3984.0,3985.4
